Timestamp,Program Studi,Tahun Masuk UIN Jakarta,Tahun Wisuda,Bulan Wisuda,Status saat ini,Waktu Mendapatkan Pekerjaan,Perusahaan,Posisi,Tahun Wirausaha,Bidang wirausaha,Penghasilan,Tahun Masuk S2,Universitas S2,Tahun Masuk S3,Universitas S3,Nama Prodi S2/S3,Kesesuaian Kurikulum,Kesesuaian Bidang Ilmu,Saran
7/10/2024 12:43,Prodi Biologi,2018,2023,Februari,Melamar Pekerjaan,4,,baru selesai kontrak kerja di PT Murni Dharma Karya,,,1000000,,,,,,3,3,"untuk memperluas wawasan dan informasi Mahasiswa Biologi UIN Jakarta, sebaiknya diselenggarakan seminar wajib terkait dengan ISO, atau Halal agar setiap Mahasiswa Biologi yang lulus pasti memiliki sertifikat pelatihan ISO atau Halal, supaya menambah nilai unggul alumni Biologi UIN Jakarta"
7/10/2024 12:52,Prodi Biologi,2018,2023,Agustus,Melamar Pekerjaan,,,,,,,,,,,,4,4,
7/10/2024 12:53,Prodi Biologi,2016,2023,Agustus,Karyawan Swasta,1,Dinas Perhubungan,Pegawai Honorer,,,4000000,,,,,,3,3,
7/10/2024 13:52,Prodi Biologi,2016,2023,Juni,Melamar Pekerjaan,,,,,,,,,,,,4,4,
7/10/2024 14:46,Prodi Biologi,2018,2024,Februari,sedang mencari kerja,,,,,,,,,,,,5,5,
7/10/2024 14:54,Prodi Biologi,2018,2023,Agustus,Melamar Pekerjaan,12,,,,,,,,,,,3,5,Cukup baik
7/10/2024 15:12,Prodi Biologi,2018,2023,Agustus,melanjutkan studi,1,"Sudah tidak bekerja, perusahaan sebelumnya (Mutiara Harapan Islamic School) ",Laboran,2023,Jasa Wisata Alam dan Jasa Laundry Sepatu,5000000,,,,,,2,4,Masih kurang dalam bidang spesifik ekologi dan hewan 
7/10/2024 15:48,Prodi Biologi,2016,2023,Agustus,Wirausaha,,,,2021,Peternakan sapi perah ,6000000,,,,,,4,5,
7/10/2024 16:01,Prodi Biologi,2016,2023,September,Pengajar,1,,Guru ,,,2000000,,,,,,4,4,
7/10/2024 16:14,Prodi Biologi,2018,2023,Agustus,Karyawan Swasta,4,PT Globalindo Dua Satu Ekpres,Finance Staff,,,,,,,,,3,1,"Pengalaman PKL atau Intern sangat penting, mungkin bisa diperpanjang waktunya. Banyak hal yang harus dipelajari khususnya lingkungan perkerjaan tetapi waktunya terbatas."
7/10/2024 16:25,Prodi Biologi,2017,2023,Mei,Wirausaha,,,,,,,,,,,,3,3,
7/10/2024 16:26,Prodi Agribisnis S1,2019,2024,Agustus,Melamar Pekerjaan,,,,,,,,,,,,4,3,
7/10/2024 16:59,Prodi Agribisnis S1,2017,2024,Agustus,Pengajar,1,,,,,,,,,,,4,4,dibuat efisien semua program perkuliahan sehingga bisa mempercepat mahasiswa lulus
7/10/2024 17:41,Prodi Biologi,2019,2023,November,Researcher,5,PT. Peternakan Ayam Manggis,Staff laboratorium ,,,4000000,,,,,,5,5,
7/10/2024 17:48,Prodi Biologi,2019,2023,November,Wirausaha,2,LAPIS TALAS BOGOR AND BEJI,Owner,2019,Kue,50000000,,,,,,2,1,Sarannya agar dapat jauh lebih baik dan meningkatkan fasilitas belajar mahasiswa dan mendengarkan pendapat mahasiswa 
7/10/2024 17:52,Prodi Biologi,2019,2023,November,Karyawan Swasta,1,PT. Bintang Seragam Indonesia,SEO Content Writer,,,3000000,,,,,,2,2,
7/10/2024 18:19,Prodi Biologi,2018,2024,Juni,Melamar Pekerjaan,,,,,,,,,,,,4,5,
7/10/2024 18:41,Prodi Biologi,2018,2023,Februari,Karyawan Swasta,12,Nestlé Indonesia,Medical Delegate,,,9000000,,,,,,4,5,"Ada beberapa kuliah saya di luar UIN yg ga bisa diconvert ke SKS padahal dulu bilangnya bisa saat masih jadi mahasiswa, tolong perbaiki lagi sistemnya agar kurikulum merdeka berjalan lancar"
7/10/2024 18:54,Prodi Biologi,2016,2023,Agustus,Pengajar,1,,,2020,Menjual pakaian anak di toko dan online,3000000,,,,,,3,5,Sudah cukup baik
7/10/2024 20:22,Prodi Biologi,2018,2022,November,Karyawan Swasta,13,PT. HERMED,Qc Analyst,,,5000000,,,,,,4,4,
7/10/2024 21:46,Prodi Biologi,2018,2024,Juni,Melamar Pekerjaan,,,,,,,,,,,,5,5,
7/10/2024 22:54,Prodi Biologi,2019,2023,November,Pengajar,1,Yayasan Islam Al-Hamidiyah,Pengajar,,,,,,,,,4,1,Pelajaran telah disampaikan dengan baik oleh dosen yang kompeten di bidangnya
7/10/2024 23:02,Prodi Agribisnis S1,2017,2024,Agustus,Melamar Pekerjaan,,,,,,,,,,,,4,3,
7/11/2024 5:53,Prodi Biologi,2018,2024,Februari,Melamar Pekerjaan,,,,,,,,,,,,3,3,
7/11/2024 7:22,Prodi Biologi,2018,2024,Februari,Internship,3,,Admin after sales ,,,,,,,,,4,1,
7/11/2024 7:41,Prodi Biologi,2019,2024,Juni,Melamar Pekerjaan,,,,,,,,,,,,2,3,"Diadakan career fest, seminar studi banding dgn univ lain, sosialisasi beasiswa s2, pengenalan bidang pekerjaan di suatu perusahaan, penjurusan mulai dari pkl hingga tugas akhir agar selaras dengan pekerjaan"
7/11/2024 8:38,Prodi Biologi,2016,2023,Agustus,Karyawan Swasta,5,Instaprint,,,,2000000,,,,,,2,1,
7/11/2024 9:32,Prodi Agribisnis S1,2017,2024,Agustus,Melamar Pekerjaan,,,,,,,,,,,,4,4,
7/11/2024 16:53,Prodi Biologi,2017,2022,Februari,Pengajar,3,,,,,,,,,,,4,4,
7/14/2024 21:18,Prodi Agribisnis S1,2020,2024,Agustus,Melamar Pekerjaan,,,,,,,,,,,,4,2,"Pengadaan mata kuliah peminatan, agar mahasiswa memiliki fokus di bidang yang lebih terkhususkan"
7/14/2024 21:21,Prodi Agribisnis S1,2019,2024,Agustus,Melamar Pekerjaan,,,,,,,,,,,,4,4,"menambah jumlah dosen, karena sejauh ini prodi agribisnis masih kekurangan dosen"
7/14/2024 22:01,Prodi Agribisnis S1,2020,2024,Agustus,Melamar Pekerjaan,,,,,,,,,,,,4,4,"Terima kasih atas pelayanan yang diberikan selama ini, banyak sekali manfaat serta benefit yang saya rasakan. Keberadaan Fakultas dan program studi juga sangat hadir dalam mensupport segala aktivitas saya baik diluar kampus hingga diluar kampus.Tidak hanya itu, seluruh dosen juga demikian selalu dapat memahami aktivitas mahasiswa diluar kampus. Sehingga, pengalaman berkuliah saya menajadi sangat berkesan dan tidak dapat dilupakan. Mungkin jika Bapak/Ibu dosen segenap keluarga besar FST tidak memberikan izin kepada saya mengikuti kegiatan diluar kampus, saya tidak bisa dapat berada di titik ini. Titik yang menurut saya tidak semua mahasiswa dapat merasakannya. Sekali lagi, terima kasih banyak atas peluang dan kerjasamanya. Semoga kita selalu diberikan kesehatan dan dilancarkan segala urusannya."
7/15/2024 7:57,Prodi Agribisnis S1,2019,2024,Agustus,,,,,,,,,,,,,3,3,semoga kedepannya semakin banyak mahasiswa yang dapat lulus tepat waktu  
7/15/2024 12:16,Prodi Agribisnis S1,2018,2024,Agustus,Wirausaha,,,,2023,Kuliner,,,,,,,5,4,Sudah cukup baik
7/16/2024 22:34,Prodi Biologi,2019,2024,Juni,Karyawan Swasta,1,PT. Indogravure,Admin HRD,,,4600000,,,,,,4,2,
7/17/2024 0:18,Prodi Agribisnis S1,2018,2024,Agustus,Karyawan Swasta,1,PT. Lotte Shopping Indonesia,Staff ALC,,,4000000,,,,,,3,3,Tingkatkan kerjasam dengan perusahaan atau libatkan perusahaan dalam kurikulum akademik
7/17/2024 16:21,Prodi Agribisnis S1,2019,2024,Agustus,Melamar Pekerjaan,,,,,,,,,,,,5,5,
7/18/2024 13:24,Prodi Agribisnis S1,2019,2024,Agustus,Melamar Pekerjaan,,,,,,,,,,,,4,4,
7/18/2024 14:49,Prodi Agribisnis S1,2020,2024,Juli,sedang mencari kerja,,,,,,,,,,,,5,5,Terus dilakukan pengembangan terkait manajemen dan sumber daya manusia di Program Studi Agribisnis
7/18/2024 16:07,Prodi Agribisnis S1,2017,2024,Agustus,Melamar Pekerjaan,,,,,,,,,,,,4,4,Sudah bagus
7/19/2024 13:00,Prodi Teknik Informatika,2018,2024,Juni,Melamar Pekerjaan,,,,,,,,,,,,3,3,
7/19/2024 16:19,Prodi Agribisnis S1,2017,2024,Agustus,Melamar Pekerjaan,,,,,,,,,,,,3,3,
7/22/2024 14:28,Prodi Teknik Pertambangan,2019,2023,Oktober,Karyawan Swasta,1,PT. Natural Persada Mandiri,Database Mine Plan Engineer & Cost Control,,,6000000,,,,,,4,5,MOU antar kampus dengan perusahaan tambang lebih diperbanyak.
7/25/2024 23:17,Prodi Kimia,2019,2023,Februari,Karyawan Swasta,5,PT Haloni Jane Tbk,Staff analis laboratorium,,,4000000,,,,,,3,3,
7/27/2024 22:27,Prodi Kimia,2019,2024,Februari,Karyawan Swasta,1,PT. Kinetik Jaya,Administrasi Perusahaaan,,,,,,,,,2,2,
8/1/2024 15:49,Prodi Agribisnis S1,2019,2024,November,Melamar Pekerjaan,,,,,,,,,,,,4,4,
8/1/2024 20:14,Prodi Agribisnis S1,2018,2024,November,Melamar Pekerjaan,,,,,,,,,,,,5,5,
8/6/2024 8:42,Prodi Agribisnis S1,2020,2024,Agustus,Melamar Pekerjaan,,,,,,,,,,,,4,4,
8/6/2024 11:18,Prodi Agribisnis S1,2020,2024,November,Wirausaha,,,,2024,Kuliner,,,,,,,4,3,sepertinya perlu diadakan lagi peminatan seperti di angkatan 19 supaya mahasiswa punya fokus pada bidang tertentu
8/7/2024 11:54,Prodi Agribisnis S1,2020,2024,November,Melamar Pekerjaan,,,,,,,,,,,,4,4,Semoga dipertahankan apa yang sudah baik dan ditingkatkan kembali apa yang belum baik
8/8/2024 11:05,Prodi Agribisnis S1,2017,2024,November,Melamar Pekerjaan,,,,,,,,,,,,4,3,
8/8/2024 12:23,Prodi Agribisnis S1,2017,2024,November,Melamar Pekerjaan,,,,,,,,,,,,4,4,
8/8/2024 12:24,Prodi Agribisnis S1,2017,2024,November,,,,,,,,,,,,,5,4,
8/8/2024 12:55,Prodi Agribisnis S1,2017,2024,September,Melamar Pekerjaan,,,,,,,,,,,,4,3,
8/8/2024 13:16,Prodi Agribisnis S1,2017,2024,September,Melamar Pekerjaan,1,,,,,,,,,,,4,4,
8/8/2024 13:31,Prodi Agribisnis S1,2019,2024,November,Melamar Pekerjaan,,,,,,,,,,,,3,4,
8/8/2024 14:40,Prodi Agribisnis S1,2017,2024,November,Melamar Pekerjaan,,,,,,,,,,,,5,5,
8/8/2024 23:23,Prodi Agribisnis S1,2017,2024,November,Karyawan Swasta,1,PT. Sunindo Kookmin Best Finance,Risk Management Staff,,,5000000,,,,,,3,3,"Tidak ada, prodi sudah berjalan dengan cukup baik"
8/9/2024 8:36,Prodi Agribisnis S1,2019,2024,November,melanjutkan studi,,,,,,,,,,,,5,5,
8/9/2024 8:56,Prodi Agribisnis S1,2019,2024,November,Melamar Pekerjaan,,,,,,,,,,,,3,3,Semoga kedepan nya menjadi lebih baik dan dapat terus memberikan pengajaran-pengajaran yang bermutu bagi para mahasiswa
8/9/2024 11:51,Prodi Agribisnis S1,2020,2024,November,Melamar Pekerjaan,,,,,,,,,,,,4,4,"Untuk program Magang atau PKL (Praktik Kerja Lapang): Sebaiknya prodi atau fakultas membangun kemitraan dengan perusahaan agribisnis terkemuka, lembaga penelitian, dan lainnya untuk menyediakan kemudahan akses kesempatan magang di perusahaan besar, jika mencari sendiri tempat PKL cukup sulit untuk dapat di perusahaan besar karena keterbatasan koneksi, waktu, dan lainnya sehingga seringkali menjalani PKL atau Magang di tempat yang standar. Dampaknya pengalaman dari Magang juga standar saja dan dirasa kurang untuk bekal mencari pekerjaan"
8/9/2024 14:21,Prodi Agribisnis S1,2017,2024,November,sedang mencari kerja,13,,,,,,,,,,,4,4,Semua sudah bagus dan berharap mahasiswa bisa menjadi lebih baik
8/12/2024 11:51,Prodi Agribisnis S1,2017,2024,Agustus,Karyawan Swasta,1,Laznas PPPA Daarul Qur'an ,Staff Administrative Secretary (Divisi CSR),,,,,,,,,3,2,Kepada prodi disarankan untuk memberikan rekomendasi/memperantarai perusahaan-perusahaan besar agribisnis kepada mahasiswa/i pada saat program Magang/PKL 
8/15/2024 8:54,Prodi Agribisnis S1,2020,2024,November,Melamar Pekerjaan,,,,,,,,,,,,4,4,"Alhamdulillah saya merasa bersyukur dapat menimba ilmu di Program studi Agribisnis UIN Jakarta yang telah banyak memberikan ilmu, pengalaman belajar, praktek, serta kesan-kesan positif yang tidak dapat disebutkan satu persatu. Saran saya hanya satu, evaluasi dosen-dosen yang jarang masuk kelas, hal ini dikarenakan dosen-dosen tersebut cukup merugikan mahasiswa.yang berniat ingin belajar dengan sungguh-sungguh. Akhir kata semoga ilmu yang saya dapatkan dapat bermanfaat dunia akhirat. Amin "
8/15/2024 9:19,Prodi Agribisnis S1,2017,2024,November,Melamar Pekerjaan,,,,,,,,UGM,,,,3,3,Semoga kedepannya prodi Agribisnis bisa lebih banyak praktek dari pada teori karena hal ini dapat mengasah kemampuan untuk di dunia kerja nantinya.
8/15/2024 14:01,Prodi Agribisnis S1,2019,2024,November,Melamar Pekerjaan,1,,,,,,,,,,,3,3,Fasilitas dan program pengembangan skill pasca lulus lebih dapat dikembangkan
8/15/2024 14:17,Prodi Agribisnis S1,2017,2024,November,Wirausaha,,,,2018,"tahun 2018 saya mendirikan boutique fashion yang bernama lalashopyyy sampai saat ini, lalashopyyy menjual barang seperti tas, baju, celana, sepatu, dan sebagainya, toko lalashopyyy sudah ada di Google Maps dan juga terdapat toko onlineshop di beberapa e commerce seperti shopee dan instagram yang bernama lalashopyyy.",10000000,,,,,,4,4,
8/16/2024 6:23,Prodi Agribisnis S1,2017,2024,September,Pengajar,1,SMPN 33 Kota Tangerang,Instruksur Ekskul,,,2000000,,,,,,4,4,"Sungguh berterima kasih kepada ibu/bapak dosen kami di Agribisnis. Pada tahun pertama hingga kedua tentu menyenangkan dapat belajar di sana, tapi karena saya salah satu mahasiswa yang kena dampak covid19, pembelajaran saat itu sungguh tidak menyenangkan. Akhirnya saya putuskan untuk lebih banyak mengambil kegiatan di luar, seperti bekerja paruh waktu dan hal lainnya. Tapi Alhamdulillah atas doa orang tua dan dukungan pembimbing serta Ketua Prodi saat ini (yang terhormat Bu Rizki dan Bu Titik), kuliah saya dapat selesai. Saran untuk pengembangan Prodi, barangkali perlu dikaji ulang tentang komposisi keilmuan dosen, karena menurut saya salah satu tolok ukur pembelajaran hingga pengimplementasian kurikulum ada di bapak/ibu dosen. Sekiranya itu, mohon maaf dan terima masih."
8/16/2024 9:29,Prodi Agribisnis S1,2017,2024,November,Melamar Pekerjaan,,,,,,,,,,,,4,4,"Agribisnis UIN Jakarta adalah tempat berkuliah yg sangat berkesan bagi saya, banyak sekali ilmu dan pengalaman yang didapatkan, namun fasilitas bagi jurusan perlu ditingkatkan, seperti fasilitas kebun dan laboratorium yg memadai, agar mahasiswa tidak hanya mengerti akan teori saja tetapi paham akan pelaksanaan di lapangan."
8/16/2024 14:15,Prodi Agribisnis S1,2017,2024,November,Freelance,1,Polsektro Keb. Baru,Staff Unit SIUM,,,3000000,,,,,,4,3,
8/16/2024 15:51,Prodi Agribisnis S1,2019,2024,November,Melamar Pekerjaan,1,,,,,,,,,,,3,3,Fasilitas dan kesesuaian mata kuliah untuk upgrade softskill lebih dikembangkan
8/19/2024 10:15,Prodi Agribisnis S1,2017,2024,November,Karyawan Swasta,,,,,,,,,,,,5,5,
8/19/2024 13:41,Prodi Agribisnis S1,2017,2024,November,Karyawan Swasta,1,Kafe Kopi Sultan,Barista Kopi,,,2500000,,,,,,5,3,"Untuk fasilitas lebih ditingkatkan dan lebih mempererat hubungan antara mahasiswa dengan dosen. Hal ini bertujuan untuk mengetahui apabila mahasiswa memiliki kendala biaya, pengetahuan dalam belajar, untuk bisa didukung dan bantu agar proses perkuliahan cepat selesai."
8/19/2024 13:58,Prodi Agribisnis S1,2020,2024,November,Melamar Pekerjaan,,,,,,,,,,,,4,4,"Dosen pengajar harus memahami kepentingan tanggungjawab dalam mengajar, yakni dengan memenuhi kehadiran. Dosen pengajar juga harus dapat memahami karakteristik setiap mahasiswa, karena mahasiswa memiliki cara yang berbeda dalam memahami materi pembelajaran."
8/19/2024 16:31,Prodi Agribisnis S1,2017,2024,November,Melamar Pekerjaan,1,,,,,,,,,,,3,3,"Dibuat per kelompok sempro sesuai bimbingan dan deadline saat sempro, supaya mahasiswa cepat dan selesai sesuai deadline 🙏🏻"
8/19/2024 22:40,Prodi Agribisnis S1,2019,2024,November,Melamar Pekerjaan,,,,,,,,,,,,5,5,"Pertahankan yang sudah terlaksana dengan baik, dan perbaiki apa yang seharusnya dipertahankan. Semangatt!!"
8/20/2024 12:08,Prodi Agribisnis S1,2017,2024,November,,,,,,,,,,,,,4,4,
8/20/2024 17:08,Prodi Agribisnis S1,2017,2024,November,Mengurus Rumah Tangga,,,,,,,,,,,,4,4,Semangat terus untuk prodi dalam membimbing mahasiswanya. semoga makin di berikan pahala dan kesabaran yang luas
8/20/2024 21:59,Prodi Agribisnis S1,2020,2024,November,Melamar Pekerjaan,,,,,,,,,,,,3,4,Kedepannya diharapkan prodi agribisnis dalam perkuliahan lebih fokus terhadap kegiatan praktek terhadap materi yang telah diberikan agar mahasiswa dapat lebih mengerti dan dapat mengiplementasikan secara langsung
8/21/2024 9:50,Prodi Agribisnis S1,2020,2024,November,Melamar Pekerjaan,,,,,,,,,,,,4,4,"Saran:
1. Peningkatan Fasilitas: Menambah dan memperbarui fasilitas laboratorium atau ruang praktek agar mahasiswa bisa mendapatkan pengalaman belajar yang lebih mendalam dan sesuai dengan perkembangan teknologi terbaru. 
2. Kerjasama Industri: Mengembangkan lebih banyak lagi kerjasama dengan perusahaan atau industri terkait untuk memberikan kesempatan magang atau proyek kolaboratif yang bisa menjadi pengalaman praktis bagi mahasiswa.
4. Kurikulum Berbasis Kompetensi: Menyesuaikan kurikulum dengan perkembangan industri dan kebutuhan pasar kerja agar lulusan siap bersaing secara global.

Kesan:
1. Program Studi agribisnis memberikan pengalaman belajar yang komprehensif dan mendalam, serta mendukung pengembangan kompetensi mahasiswa secara holistik.
2. Dosen-dosen di Program Studi Agribisnis sangat kompeten dan selalu siap membantu mahasiswa dalam memahami materi kuliah dan tantangan praktis di lapangan.

Komentar:
1. Program Studi ini sangat membantu dalam membentuk kemampuan analitis dan praktis yang dibutuhkan di dunia kerja. Dengan adanya peningkatan dan inovasi yang berkelanjutan, Program Studi agribisnis akan terus menghasilkan lulusan yang unggul.
2. Saya merasa Program Studi agribisnis sudah berada di jalur yang tepat, namun masih ada ruang untuk pengembangan khususnya dalam penguatan link and match antara kurikulum dengan kebutuhan industri saat ini."
8/21/2024 15:02,Prodi Agribisnis S1,2020,2024,November,Melamar Pekerjaan,,,,,,,,,,,,5,5,
8/21/2024 16:31,Prodi Agribisnis S1,2020,2024,November,,,,,,,,,,,,,4,5,
8/21/2024 22:43,Prodi Agribisnis S1,2019,2024,November,,,,,,,,,,,,,2,3,"Perbaiki fasilitas (minimal toilet), tambah jumlah dosen, perbaiki sistem kurikulum"
8/22/2024 15:31,Prodi Agribisnis S1,2017,2024,November,,,,,,,,,,,,,3,3,
8/22/2024 18:50,Prodi Agribisnis S1,2017,2024,November,Wirausaha,,,,2021,Fashion and beauty,6000000,,,,,,4,4,"Terimakasih banyak atas dukungan, motivasi, bantuan, dan pelayanannya"
8/23/2024 10:13,Prodi Agribisnis S1,2017,2024,Agustus,Melamar Pekerjaan,13,,,,,,,,,,,4,4,
8/23/2024 14:00,Prodi Agribisnis S1,2017,2024,November,Karyawan Swasta,1,PT Gemilang Rizqi Efendi Development ,Marketing Office,,,6000000,,,,,,5,5,Baik dan sesuai dengan yang dibutuhkan
8/23/2024 23:16,Prodi Agribisnis S1,2019,2024,November,Melamar Pekerjaan,,,,,,,,,,,,3,4,"tingkatkan kualitas prodi dengan menambahkan dosen yang baru, supaya dalam era skripsi banyak dosen yang mampu membimbing agar skripsi cepat selesai."
8/24/2024 1:18,Prodi Agribisnis S1,2017,2024,November,Karyawan Swasta,,"Tanatap Artisan , ",Floor Manager,,,3000000,,,,,,4,4,
8/24/2024 1:58,Prodi Agribisnis S1,2019,2024,November,Melamar Pekerjaan,,,,,,,,,,,,3,4,Kesesuaian kurikulum dan tenaga pendidik dapat mendorong keberhasilan prodi untuk lebih baik lagi kedepannya
8/26/2024 9:06,Prodi Agribisnis S1,2017,2024,November,Melamar Pekerjaan,,,,,,,,,,,,3,3,
8/26/2024 14:24,Prodi Agribisnis S1,2020,2024,November,Melamar Pekerjaan,,,,,,,,,,,,4,4,
8/26/2024 17:53,Prodi Agribisnis S1,2017,2024,November,Melamar Pekerjaan,,,,,,,,,,,,3,3,"Prodi sangat membantu dalam penyelesaian studi saya , kerja prodi sangat baik"
8/26/2024 19:12,Prodi Agribisnis S1,2020,2024,November,Melamar Pekerjaan,,,,,,,,,,,,4,4,Semoga sistem untuk seminar dan sidang lebih terintegrasi 
8/26/2024 21:35,Prodi Agribisnis S1,2020,2024,November,sedang mencari kerja,,,,,,,,,,,,4,3,"Selama masa perkuliahan saya sempat mengikuti program pertukaran mahasiswa ke kampus ptn lain dan saya merasa kbm nya sangat mendalam, serius, dan terstruktur. Tidak terburu buru, semua materi dijelaskan dengan detail dan mahasiswa diminta untuk memberikan feedback selama kbm untuk mengukur pemahaman. Selain itu, tugas yang diberikan di kelas juga sangat menuntut mahasiswa untuk paham tentang materi kuliah. Sampai saat ini materinya masih saya ingat betul dan saat ada matkul di uin yang serupa dengan yang diajarkan di kampus tersebut, saya jadi lebih percaya diri karena sebelumnya sudah pernah belajar dengan mendalam. Saya berharap perkuliahan di prodi agribisnis uin jakarta bisa lebih mendalam dan tugas yang diberikan lebih menuntut mahasiswa untuk betul betul mengerti.

Pesan lainnya, saya berterimakasih kepada prodi agribisnis yang banyak memberikan kesempatan untuk mahasiswa bisa ikut serta di banyak program seperti exchange dan magang di luar negeri."
8/27/2024 8:01,Prodi Agribisnis S1,2020,2024,November,Melamar Pekerjaan,,,,,,,,,,,,4,4,Saran dari saya untuk prodi kedepannya lebih memperhatikan mahasiswanya jangan hanya memperhatikan mahasiswa tua yang belum lulus. Memfokuskan bidang ilmu mahasiswa agar mahasiswa mendapat ilmu secara utuh. 
8/27/2024 12:06,Prodi Agribisnis S1,2019,2024,November,Karyawan Swasta,1,Sekolah Tara Salvia,Fasilitator Kegiatan,,,1000000,,,,,,3,1,
8/27/2024 12:26,Prodi Agribisnis S1,2019,2024,November,Melamar Pekerjaan,,,,,,,,,,,,5,5,
8/28/2024 10:03,Prodi Agribisnis S1,2017,2024,November,Freelance,1,,,,,,,,,,,4,3,
8/28/2024 10:57,Prodi Agribisnis S1,2017,2024,Agustus,Melamar Pekerjaan,,,,,,,,,,,,4,4,
8/28/2024 11:11,Prodi Agribisnis S1,2017,2024,November,Melamar Pekerjaan,,,,,,,,,,,,5,5,"Sarannya kampus harus meningkatkan kerjasama dengan perusahaan dan industri terkait magang dan program kemitraan akan memberikan kesempatan berharga bagi mahasiswa untuk mendapatkan pengalaman nyata, mengembangkan jaringan, serta memperoleh pemahaman yang lebih baik. Selain itu juga harus meningkatkan fasilitas seperti kamar mandi yang bersih. "
8/28/2024 11:13,Prodi Agribisnis S1,2017,2024,November,Karyawan Swasta,1,CV Kukche Mitra Sukses,Staf,,,3000000,,,,,,4,3,
8/28/2024 12:48,Prodi Agribisnis S1,2017,2024,November,sedang mencari kerja,,,,,,,,,,,,4,3,
8/28/2024 14:16,Prodi Agribisnis S1,2019,2024,November,Melamar Pekerjaan,1,,,,,,,,,,Agribisnis,4,4,Pertimbangan wajib magang (berdurasi beberapa bulan) kepada seluruh mahasiswa sebagai pembekalan pengalaman kerja. 
8/28/2024 14:34,Prodi Agribisnis S1,2019,2024,November,Melamar Pekerjaan,,,,,,,,,,,,5,5,Ditingkatkan dalam bidang respon server
9/6/2024 8:22,Prodi Agribisnis S1,2020,2024,November,Melamar Pekerjaan,,,,,,,,,,,,4,4,
9/8/2024 21:40,Prodi Biologi,2018,2023,Agustus,melanjutkan studi,3,PT Pandu Holding Company,Marketing,,,,2024,IPB,,,Ilmu Biomedis Hewan,5,5,
9/11/2024 13:28,Prodi Teknik Pertambangan,2020,2024,November,Karyawan Swasta,1,Perhimpunan Ahli Pertambangan Indonesia ,Copywriter ESG Nikel ,,,,,,,,,4,5,"Adanya program job fair untuk para alumni, yang menjembatani lulusan program studi teknik pertambangan dengan perusahaan tambang sehingga memberikan peluang besar untuk bisa bekerja"
9/18/2024 15:07,Prodi Agribisnis S1,2019,2024,November,Karyawan Swasta,1,PT. Satwa Medika Utama,Staff Admin,,,3500000,,,,,,4,5,Alhamdulillah semua berjalan dengan baik. Semoga Agribisnis kedepannya dapat menghasilkan lulusan lulusan yang baik dan bermanfaat bagi masyarakat luas
10/14/2024 14:49,Prodi Agribisnis S1,2020,2024,November,Melamar Pekerjaan,,,,,,,,,,,,4,4,saran untuk prodi membuat jadwal seminar supaya terintegrasi  dengan baik
10/15/2024 14:43,Prodi Agribisnis S1,2020,2024,November,Melamar Pekerjaan,,,,,,,,,,,,4,4,
10/18/2024 12:32,Prodi Agribisnis S1,2020,2025,Agustus,,,,,,,,,,,,,5,4,
